physical_pin,reference_pin_function,reference_net,s4_datasheet_verified
113,USB1_DM_113,unconnected-(U3C-USB1_DM-Pad113),False
114,USB0_DM_114,/Architecture/USB/USB0_DN,False
115,USB0_DP_115,/Architecture/USB/USB0_DP,False
116,VDD_CORE0_116,+0V9,False
117,VDD_CORE1_117,+0V9,False
118,PG1_118,unconnected-(U3E-PG1-Pad118),False
119,PG2_119,unconnected-(U3E-PG2-Pad119),False
120,PG0_120,unconnected-(U3E-PG0-Pad120),False
121,PG3_121,unconnected-(U3E-PG3-Pad121),False
122,PG5_122,unconnected-(U3E-PG5-Pad122),False
123,PG4_123,unconnected-(U3E-PG4-Pad123),False
124,PG12_124,unconnected-(U3E-PG12-Pad124),False
125,PG13_125,unconnected-(U3E-PG13-Pad125),False
126,PG14_126,unconnected-(U3E-PG14-Pad126),False
127,PG15_127,unconnected-(U3E-PG15-Pad127),False
128,VCC_PG_128,+3V3,False
129,EPAD_129,GND,False
